eng_title,jap_title,score
Magi,マギ,100.0
Princess Jellyfish,海月姫,100.0
Liar Game,LIAR GAME,100.0
The Dangers in My Heart,僕の心のヤバイやつ,100.0
The Eminence in Shadow,陰の実力者になりたくて!,100.0
Initial D,頭文字D,100.0
Planetes,プラネテス,100.0
Honey and Clover,ハチミツとクローバー,100.0
A Certain Scientific Railgun,とある科学の超電磁砲,100.0
Assassination Classroom,暗殺教室,100.0
Beastars,BEASTARS,100.0
Jujutsu Kaisen,呪術廻戦,100.0
Ace of Diamond,ダイヤのA,87.5
Daily Lives of High School Boys,男子高校生の日常,93.93939393939394
Summertime Render,サマータイムレンダ,91.89189189189189
Hell's Paradise: Jigokuraku,地獄楽,88.88888888888889
7 Seeds,7SEEDS,100.0
Snow White with the Red Hair,赤髪の白雪姫,100.0
Crows,クローズ,100.0
Non Non Biyori,のんのんびより,100.0
Eden: It's an Endless World!,EDEN,90.9090909090909
Sanctuary,サンクチュアリ,100.0
Solanin,ソラニン,100.0
The Witch and the Beast,魔女と野獣,100.0
Tsurezure Children,徒然チルドレン,100.0
The Flowers of Evil,惡の華,100.0
House of the Sun,たいようのいえ,100.0
Akagi,アカギ,100.0
Dusk Maiden of Amnesia,黄昏乙女×アムネジア,100.0
Dr. Stone,Dr.STONE,94.11764705882352
Sailor Moon,美少女戦士セーラームーン,100.0
YuYu Hakusho,幽☆遊☆白書,96.0
Call of the Night,よふかしのうた,100.0
Uzumaki,うずまき,100.0
Fly Me to the Moon,トニカクカワイイ,100.0
Billy Bat,BILLY BAT,100.0
Blue Lock,ブルーロック,100.0
Gantz,GANTZ,100.0
InuYasha,犬夜叉,100.0
Bleach,BLEACH,100.0
Naruto,NARUTO,100.0
Fairy Tail,FAIRY TAIL,100.0
Soul Eater,ソウルイーター,100.0
The Promised Neverland,約束のネバーランド,100.0
Fire Force,炎炎ノ消防隊,100.0
Blue Exorcist,青の祓魔師,100.0
Devilman,デビルマン,100.0
Great Teacher Onizuka,GTO,87.5
Beelzebub,べるぜバブ,100.0
Drifters,ドリフターズ,100.0
Ajin: Demi-Human,亜人,93.75
Prison School,監獄学園,100.0
Highschool of the Dead,学園黙示録,84.44444444444444
Kuroko's Basketball,黒子のバスケ,94.73684210526316
Hellsing,ヘルシング,100.0
Black Clover,ブラッククローバー,100.0
My Hero Academia,僕のヒーローアカデミア,100.0
The Seven Deadly Sins,七つの大罪,100.0
Toriko,トリコ,100.0
Gintama,銀魂,100.0
Reborn!,家庭教師ヒットマンREBORN!,70.58823529411764
Bungo Stray Dogs,文豪ストレイドッグス,100.0
Deadman Wonderland,デッドマン・ワンダーランド,100.0
Akame ga Kill!,アカメが斬る!,96.2962962962963
Twin Star Exorcists,双星の陰陽師,100.0
Noragami: Stray God,ノラガミ,94.73684210526316
Pandora Hearts,PandoraHearts,100.0
07-Ghost,07-GHOST,87.5
Vampire Knight,ヴァンパイア騎士,100.0
Fruits Basket,フルーツバスケット,100.0
"Say ""I Love You.""",好きっていいなよ。,96.55172413793103
Kimi ni Todoke: From Me to You,君に届け,96.66666666666667
Special A,S・A(スペシャル・エー),75.0
Toradora!,とらドラ!,94.11764705882352
Itazura na Kiss,イタズラなKiss,100.0
Skip Beat!,スキップ・ビート!,94.73684210526316
Neighborhood Story,ご近所物語,100.0
Mars,MARS,100.0
High School Debut,高校デビュー,100.0
Strobe Edge,ストロボ・エッジ,100.0
Angel Beats!: Heaven's Door,Angel Beats! -Heaven's Door-,90.56603773584906
Steins;Gate,STEINS;GATE,0
