Rank,English Title,Japanese Title,Link
63,Mob Psycho 100,モブサイコ100,https://myanimelist.net/manga/60783/Mob_Psycho_100
64,Blue Period,ブルーピリオド,https://myanimelist.net/manga/107931/Blue_Period
65,Banana Fish,BANANA FISH,https://myanimelist.net/manga/756/Banana_Fish
66,Skip to Loafer,スキップとローファー,https://myanimelist.net/manga/118289/Skip_to_Loafer
67,Tobaku Datenroku Kaiji: One Poker-hen,賭博堕天録カイジ ワン・ポーカー編,https://myanimelist.net/manga/61579/Tobaku_Datenroku_Kaiji__One_Poker-hen
68,Shigatsu wa Kimi no Uso,四月は君の嘘,https://myanimelist.net/manga/37707/Shigatsu_wa_Kimi_no_Uso
69,"Umarekawattemo Mata, Watashi to Kekkon shitekuremasu ka",生まれ変わってもまた、私と結婚してくれますか,https://myanimelist.net/manga/114043/Umarekawattemo_Mata_Watashi_to_Kekkon_shitekuremasu_ka
70,Shinseiki Evangelion,新世紀エヴァンゲリオン,https://myanimelist.net/manga/698/Shinseiki_Evangelion
71,JoJo no Kimyou na Bouken Part 4: Diamond wa Kudakenai,ジョジョの奇妙な冒険 ダイヤモンドは砕けない,https://myanimelist.net/manga/3006/JoJo_no_Kimyou_na_Bouken_Part_4__Diamond_wa_Kudakenai
72,Chihayafuru,ちはやふる,https://myanimelist.net/manga/13245/Chihayafuru
73,Pandora Hearts,PandoraHearts,https://myanimelist.net/manga/3031/Pandora_Hearts
74,Otoyomegatari,乙嫁語り,https://myanimelist.net/manga/11514/Otoyomegatari
75,The Fable,ザ・ファブル,https://myanimelist.net/manga/87844/The_Fable
76,Diamond no Ace Act II,ダイヤのA〈エース〉 act II,https://myanimelist.net/manga/92559/Diamond_no_Ace_Act_II
77,Jibaku Shounen Hanako-kun,地縛少年花子くん,https://myanimelist.net/manga/105084/Jibaku_Shounen_Hanako-kun
78,Skip Beat!,スキップ・ビート!,https://myanimelist.net/manga/610/Skip_Beat
79,Billy Bat,BILLY BAT,https://myanimelist.net/manga/11054/Billy_Bat
80,Shingeki no Kyojin,進撃の巨人,https://myanimelist.net/manga/23390/Shingeki_no_Kyojin
81,Tokyo Ghoul,東京喰種トーキョーグール,https://myanimelist.net/manga/33327/Tokyo_Ghoul
